Produs,Link,Nevoie/Tip
Haruharu Black Rice Moisture Deep Cleansing Oil,https://skinguru.ro/produs/haruharu-black-rice-moisture-deep-cleansing-oil-150ml/,Curățare - pe bază de ulei
Haruharu Wonder Black Rice Moisture 5.5 Soft Cleansing Gel,https://skinguru.ro/produs/haruharu-wonder-black-rice-moisture-5-5-soft-cleansing-gel-100ml/,Curățare - pe bază de apă
Haruharu Wonder Black Rice Hyaluronic Cream Unscented,https://skinguru.ro/produs/haruharu-wonder-black-rice-hyaluronic-cream-unscented-50ml/,Hidratare - ten uscat
Dr. Althea 345 Relief Cream,https://skinguru.ro/produs/dr-althea-345-relief-cream-50ml/,Hidratare - ten uscat/mixt
AXIS-Y Complete No Stress Physical Sunscreen,https://skinguru.ro/produs/axis-y-complete-no-stress-physical-sunscreen-v3-50ml/,SPF - ten gras
Beauty of Joseon Relief Sun Rice + Probiotics SPF50+,https://skinguru.ro/produs/beauty-of-joseon-relief-sun-rice-probiotics-50ml-spf50pa/,SPF - ten uscat
Effaclar Duo+M,https://www.drmax.ro/gel-crema-anti-imperfectiuni-effaclar-duo-m-40ml-la-roche-posay?utm_source=google&utm_medium=cpc&utm_campaign=%5BHERO%20APRIL%5D%20Google_SS&utm_id=22379808900,Acnee - Peroxid de Benzoil
The Ordinary Soluție de Acid Salicilic 2%,https://www.drmax.ro/solutie-de-acid-salicilic-2-30ml-the-ordinary?utm_source=google&utm_medium=cpc&utm_campaign=%5BBEAUTY%5D%20Google_SS&utm_id=22323146790,Puncte negre - Acid Salicilic
La Roche-Posay Mela B3,https://comenzi.farmaciatei.ro/dermato-cosmetice/fata/pete-pigmentare/ser-concentrat-intensiv-pentru-corectare-pete-pigmentare-mela-b3-30-ml-la-roche-posay-p377441?utm_source=chatgpt.com,Pete pigmentare - Niacinamide
Haruharu Wonder Black Rice Anti-Wrinkle Serum,https://skinguru.ro/produs/haruharu-wonder-black-rice-anti-wrinkle-serum-50ml/,Riduri - Anti-rid
COSRX The Retinol 0.1 Cream,https://skinguru.ro/produs/cosrx-the-retinol-0-1-cream-20ml/,Probleme combinate - Retinol
